Date,Region,Channel,Category,Units,Unit Price,Revenue,Discount %,Returns,Customer Rating
2024-01-05,East,Online,Accessories,12,$24.99,299.88,0%,0,4.5
2024-01-07,West,Online,Apparel,8,$49.99,399.92,5%,0,4.2
2024-01-09,East,In-store,Home,3,$129.99,389.97,0%,0,4.8
2024-01-12,North,Online,Accessories,25,$9.99,249.75,10%,1,3.9
2024-01-14,South,In-store,Apparel,6,$79.99,479.94,0%,0,4.6
2024-01-18,West,Online,Home,2,$199.99,399.98,0%,0,4.7
2024-01-21,East,Online,Apparel,15,$39.99,599.85,5%,2,4.1
2024-01-24,North,In-store,Accessories,18,$14.99,269.82,0%,0,4.4
2024-01-27,South,Online,Home,4,$149.99,599.96,0%,0,4.9
2024-01-30,West,In-store,Accessories,30,$7.99,239.70,15%,3,3.8
2024-02-02,East,Online,Apparel,10,$59.99,599.90,0%,0,4.5
2024-02-05,West,Online,Accessories,40,$6.99,279.60,10%,1,4.0
2024-02-08,North,In-store,Home,5,$119.99,599.95,5%,0,4.6
2024-02-11,South,Online,Apparel,9,$49.99,449.91,0%,1,4.3
2024-02-14,East,In-store,Accessories,22,$11.99,263.78,0%,0,4.2
2024-02-17,West,Online,Home,3,$169.99,509.97,0%,0,4.8
2024-02-20,North,Online,Apparel,12,$44.99,539.88,5%,0,4.4
2024-02-23,South,In-store,Accessories,16,$13.99,223.84,0%,1,4.1
2024-02-26,East,Online,Home,6,$99.99,599.94,0%,0,4.7
2024-02-29,West,Online,Apparel,7,$69.99,489.93,10%,0,4.0
2024-03-02,North,Online,Accessories,35,$8.99,314.65,10%,2,3.7
2024-03-05,South,Online,Home,4,$139.99,559.96,0%,0,4.5
2024-03-08,East,In-store,Apparel,11,$54.99,604.89,0%,0,4.6
2024-03-11,West,Online,Accessories,28,$12.99,363.72,5%,0,4.3
2024-03-14,North,In-store,Home,2,$229.99,459.98,0%,0,4.9
2024-03-17,South,Online,Apparel,14,$42.99,601.86,5%,1,4.2
2024-03-20,East,Online,Accessories,45,$5.99,269.55,15%,4,3.6
2024-03-23,West,In-store,Home,3,$179.99,539.97,0%,0,4.8
2024-03-26,North,Online,Apparel,10,$47.99,479.90,0%,0,4.4
2024-03-29,South,In-store,Accessories,20,$14.99,299.80,0%,0,4.5
2024-04-01,East,Online,Home,5,$129.99,649.95,0%,0,4.7
2024-04-04,West,Online,Apparel,13,$39.99,519.87,5%,0,4.1
2024-04-07,North,In-store,Accessories,26,$10.99,285.74,0%,1,4.0
2024-04-10,South,Online,Home,4,$159.99,639.96,0%,0,4.8
2024-04-13,East,In-store,Apparel,9,$64.99,584.91,0%,0,4.6
2024-04-16,West,Online,Accessories,32,$9.99,319.68,10%,0,4.2
2024-04-19,North,Online,Home,6,$109.99,659.94,5%,0,4.5
2024-04-22,South,In-store,Apparel,15,$44.99,674.85,0%,1,4.3
2024-04-25,East,Online,Accessories,50,$4.99,249.50,20%,5,3.5
2024-04-28,West,In-store,Home,2,$249.99,499.98,0%,0,4.9
2024-05-01,North,Online,Apparel,16,$36.99,591.84,5%,0,4.2
2024-05-04,South,Online,Accessories,24,$11.99,287.76,0%,0,4.4
2024-05-07,East,In-store,Home,4,$149.99,599.96,0%,0,4.7
2024-05-10,West,Online,Apparel,12,$49.99,599.88,0%,0,4.5
2024-05-13,North,In-store,Accessories,19,$15.99,303.81,0%,1,4.1
2024-05-16,South,Online,Home,5,$119.99,599.95,5%,0,4.6
2024-05-19,East,Online,Apparel,18,$32.99,593.82,0%,0,4.4
2024-05-22,West,In-store,Accessories,27,$13.99,377.73,0%,0,4.3
2024-05-25,North,Online,Home,3,$199.99,599.97,0%,0,4.8
2024-05-28,South,In-store,Apparel,10,$59.99,599.90,10%,0,4.0
2024-06-01,East,Online,Accessories,38,$7.99,303.62,5%,1,4.1
2024-06-04,West,Online,Home,4,$154.99,619.96,0%,0,4.7
2024-06-07,North,In-store,Apparel,11,$54.99,604.89,0%,0,4.5
2024-06-10,South,Online,Accessories,29,$10.99,318.71,0%,0,4.2
2024-06-13,East,In-store,Home,5,$134.99,674.95,0%,0,4.8
2024-06-16,West,Online,Apparel,17,$34.99,594.83,5%,0,4.4
2024-06-19,North,In-store,Accessories,33,$9.99,329.67,0%,1,4.0
2024-06-22,South,Online,Home,3,$214.99,644.97,0%,0,4.9
2024-06-25,East,In-store,Apparel,13,$46.99,610.87,0%,0,4.6
2024-06-28,West,Online,Accessories,22,$14.99,329.78,5%,0,4.3
2024-07-01,North,Online,Home,6,$109.99,659.94,0%,0,4.7
